instruct,input,output
อธิบายมาตรา 16,"ถ้าโดนฟ้องเรื่อง พรบ คอมพิวเตอร์ต้องทำอย่างไงค่ะ โดนเเจ้งความเรื่องการโพสรูปเเละข้อความทำให้อีกฝ่ายเสียหาย ต้องทำอย่างงัยบ้างค่ะ
พอดีอีกฝ่ายเป็นเมียน้อย แล้วเราไปประจานเขาค่ะเเละเขาดันเเคปรูปไว้ทันเเต่ทางเราลบไปเเล้วค่ะลงไม่ถึงครึ่งชั่วโมงค่ะ","มาตรา 16  ผู้ใดนำเข้าสู่ระบบคอมพิวเตอร์ที่ประชาชนทั่วไปอาจเข้าถึงได้ซึ่งข้อมูลคอมพิวเตอร์ที่ปรากฏเป็นภาพของผู้อื่น และภาพนั้นเป็นภาพที่เกิดจากการสร้างขึ้น ตัดต่อ เติมหรือดัดแปลงด้วยวิธีการทางอิเล็กทรอนิกส์หรือวิธีการอื่นใด โดยประการที่น่าจะทำให้ผู้อื่นนั้นเสียชื่อเสียง ถูกดูหมิ่นถูกเกลียดชัง หรือได้รับความอับอาย ต้องระวางโทษจำคุกไม่เกิน 3 ปี และปรับไม่เกิน 200,000 บาท
               ถ้าการกระทำตามวรรคหนึ่งเป็นการกระทำต่อภาพของผู้ตาย และการกระทำนั้นน่าจะทำให้บิดา มารดา คู่สมรส หรือบุตรของผู้ตายเสียชื่อเสียง ถูกดูหมิ่น หรือถูกเกลียดชัง หรือได้รับความอับอายผู้กระทำต้องระวางโทษดังที่บัญญัติไว้ในวรรคหนึ่ง
               ถ้าการกระทำตามวรรคหนึ่งหรือวรรคสอง เป็นการนำเข้าสู่ระบบคอมพิวเตอร์โดยสุจริตอันเป็นการติชมด้วยความเป็นธรรม ซึ่งบุคคลหรือสิ่งใดอันเป็นวิสัยของประชาชนย่อมกระทำ ผู้กระทำไม่มีความผิด
               ความผิดตามวรรคหนึ่งและวรรคสองเป็นความผิดอันยอมความได้
               ถ้าผู้เสียหายในความผิดตามวรรคหนึ่งหรือวรรคสองตายเสียก่อนร้องทุกข์ ให้บิดา มารดา คู่สมรส หรือบุตรของผู้เสียหายร้องทุกข์ได้ และให้ถือว่าเป็นผู้เสียหาย

               มาตรา 16/1  ในคดีความผิดตามมาตรา 14 หรือมาตรา 16 ซึ่งมีคำพิพากษาว่าจำเลยมีความผิด ศาลอาจสั่ง
               (1) ให้ทำลายข้อมูลตามมาตราดังกล่าว
               (2) ให้โฆษณาหรือเผยแพร่คำพิพากษาทั้งหมดหรือแต่บางส่วนในสื่ออิเล็กทรอนิกส์ วิทยุกระจายเสียง วิทยุโทรทัศน์ หนังสือพิมพ์ หรือสื่ออื่นใด ตามที่ศาลเห็นสมควร โดยให้จำเลยเป็นผู้ชำระค่าโฆษณา หรือเผยแพร่
               (3) ให้ดำเนินการอื่นตามที่ศาลเห็นสมควรเพื่อบรรเทาความเสียหายที่เกิดขึ้นจากการกระทำความผิดนั้น

               มาตรา 16/2  ผู้ใดรู้ว่าข้อมูลคอมพิวเตอร์ในความครอบครองของตนเป็นข้อมูลที่ศาลสั่งให้ทำลายตามมาตรา 16/1 ผู้นั้นต้องทำลายข้อมูลดังกล่าว หากฝ่าฝืนต้องระวางโทษกึ่งหนึ่งของโทษที่บัญญัติไว้ในมาตรา 14 หรือมาตรา 16 แล้วแต่กรณี"
อธิบายมาตรา 16,"เนื่องจากว่ามีคนที่ไม่รู้จักมาคอมเม้นเฟสบุ๊คของเรา โดยที่ไม่รู้จักกับเราเเละเเฟนมาก่อน หรือเขาอาจจะรู้จักเราจากปากคนอื่นมา เเล้วเเฟนเราได้ทักเเชทไปถามว่ามีปัญหาอะไรมาคอมเม้นเสียๆหายๆเลยมีการด่าทอกันเกินขึ้นในห้องเเชท เเต่ คู่กรณีได้เเคปเเชทที่ทะเลาะกับเเฟนเราเเละหน้าเฟสเรากับเเฟนไปประจานโพสด่าเเละขู่ทำร้ายสนุกปากในเฟสบุ๊คที่เป็นพื้นที่
สาธารณะโดยเเท็กเพื่อนเเละคนรู้จักของเขาด้วย โดยไม่ได้ปิดชื่อเฟสหรือใบหน้า เราได้เตือนไห้เขาลบโพสไปเเล้วเเต่เขายืนยันว่าจะไม่ลบ กรณีนี้สามารถเเจ้งความ พรบ คอมพิวเตอร์ ได้ไหมคะ แล้วต้องดำเนินการอย่างไรบ้าง","การโพสต์ข้อความหรือภาพที่ทำให้คุณและแฟนเสียหาย อาจเข้าข่ายความผิดตาม มาตรา 16 ของ พ.ร.บ. คอมพิวเตอร์ ซึ่งระบุว่า ผู้ใดเผยแพร่หรือส่งต่อข้อมูลคอมพิวเตอร์ที่บิดเบือน หรือทำให้ผู้อื่นเสียชื่อเสียง ต้องระวางโทษจำคุกไม่เกิน 3 ปี หรือปรับไม่เกิน 200,000 บาท หรือทั้งจำทั้งปรับ การโพสต์ที่เปิดเผยข้อมูลส่วนบุคคล เช่น ชื่อและใบหน้า อาจทำให้คุณเสียหาย และเป็นการละเมิดสิทธิความเป็นส่วนตัว

การดำเนินการ:
1. เก็บหลักฐาน: รวบรวมหลักฐานทั้งหมดที่เกี่ยวข้อง เช่น การแคปหน้าจอข้อความที่คู่กรณีโพสต์บน Facebook รวมถึงแชทที่มีการด่าทอและข่มขู่
2. แจ้งความ: คุณสามารถแจ้งความกับตำรวจในพื้นที่ที่คุณอาศัยอยู่ โดยแจ้งว่าเป็นความผิดตาม พ.ร.บ. คอมพิวเตอร์ และกฎหมายหมิ่นประมาทตามประมวลกฎหมายอาญา
3. ร้องเรียนผ่านช่องทางออนไลน์: นอกจากแจ้งความ คุณสามารถรายงานโพสต์ดังกล่าวกับ Facebook ว่าเป็นการละเมิดนโยบายของแพลตฟอร์มในเรื่องการคุกคามหรือการละเมิดสิทธิส่วนบุคคล"
อธิบายมาตรา 16,"เนื่องจากว่ามีคนที่ไม่รู้จักมาคอมเม้นเฟสบุ๊คของเรา โดยที่ไม่รู้จักกับเราเเละเเฟนมาก่อน หรือเขาอาจจะรู้จักเราจากปากคนอื่นมา เเล้วเเฟนเราได้ทักเเชทไปถามว่ามีปัญหาอะไรมาคอมเม้นเสียๆหายๆเลยมีการด่าทอกันเกินขึ้นในห้องเเชท เเต่ คู่กรณีได้เเคปเเชทที่ทะเลาะกับเเฟนเราเเละหน้าเฟสเรากับเเฟนไปประจานโพสด่าเเละขู่ทำร้ายสนุกปากในเฟสบุ๊คที่เป็นพื้นที่
สาธารณะโดยเเท็กเพื่อนเเละคนรู้จักของเขาด้วย โดยไม่ได้ปิดชื่อเฟสหรือใบหน้า เราได้เตือนไห้เขาลบโพสไปเเล้วเเต่เขายืนยันว่าจะไม่ลบ กรณีนี้สามารถเเจ้งความ พรบ คอมพิวเตอร์ ได้ไหมคะ แล้วต้องดำเนินการอย่างไรบ้าง","มาตรา 16  ผู้ใดนำเข้าสู่ระบบคอมพิวเตอร์ที่ประชาชนทั่วไปอาจเข้าถึงได้ซึ่งข้อมูลคอมพิวเตอร์ที่ปรากฏเป็นภาพของผู้อื่น และภาพนั้นเป็นภาพที่เกิดจากการสร้างขึ้น ตัดต่อ เติมหรือดัดแปลงด้วยวิธีการทางอิเล็กทรอนิกส์หรือวิธีการอื่นใด โดยประการที่น่าจะทำให้ผู้อื่นนั้นเสียชื่อเสียง ถูกดูหมิ่นถูกเกลียดชัง หรือได้รับความอับอาย ต้องระวางโทษจำคุกไม่เกิน 3 ปี และปรับไม่เกิน 200,000 บาท
               ถ้าการกระทำตามวรรคหนึ่งเป็นการกระทำต่อภาพของผู้ตาย และการกระทำนั้นน่าจะทำให้บิดา มารดา คู่สมรส หรือบุตรของผู้ตายเสียชื่อเสียง ถูกดูหมิ่น หรือถูกเกลียดชัง หรือได้รับความอับอายผู้กระทำต้องระวางโทษดังที่บัญญัติไว้ในวรรคหนึ่ง
               ถ้าการกระทำตามวรรคหนึ่งหรือวรรคสอง เป็นการนำเข้าสู่ระบบคอมพิวเตอร์โดยสุจริตอันเป็นการติชมด้วยความเป็นธรรม ซึ่งบุคคลหรือสิ่งใดอันเป็นวิสัยของประชาชนย่อมกระทำ ผู้กระทำไม่มีความผิด
               ความผิดตามวรรคหนึ่งและวรรคสองเป็นความผิดอันยอมความได้
               ถ้าผู้เสียหายในความผิดตามวรรคหนึ่งหรือวรรคสองตายเสียก่อนร้องทุกข์ ให้บิดา มารดา คู่สมรส หรือบุตรของผู้เสียหายร้องทุกข์ได้ และให้ถือว่าเป็นผู้เสียหาย

               มาตรา 16/1  ในคดีความผิดตามมาตรา 14 หรือมาตรา 16 ซึ่งมีคำพิพากษาว่าจำเลยมีความผิด ศาลอาจสั่ง
               (1) ให้ทำลายข้อมูลตามมาตราดังกล่าว
               (2) ให้โฆษณาหรือเผยแพร่คำพิพากษาทั้งหมดหรือแต่บางส่วนในสื่ออิเล็กทรอนิกส์ วิทยุกระจายเสียง วิทยุโทรทัศน์ หนังสือพิมพ์ หรือสื่ออื่นใด ตามที่ศาลเห็นสมควร โดยให้จำเลยเป็นผู้ชำระค่าโฆษณา หรือเผยแพร่
               (3) ให้ดำเนินการอื่นตามที่ศาลเห็นสมควรเพื่อบรรเทาความเสียหายที่เกิดขึ้นจากการกระทำความผิดนั้น

               มาตรา 16/2  ผู้ใดรู้ว่าข้อมูลคอมพิวเตอร์ในความครอบครองของตนเป็นข้อมูลที่ศาลสั่งให้ทำลายตามมาตรา 16/1 ผู้นั้นต้องทำลายข้อมูลดังกล่าว หากฝ่าฝืนต้องระวางโทษกึ่งหนึ่งของโทษที่บัญญัติไว้ในมาตรา 14 หรือมาตรา 16 แล้วแต่กรณี"""
อธิบายมาตรา 5 ,ได้มีการแฮกเข้าไปดูข้อมูลของคนอื่น โดนที่ไม่ได้รับอนุญาตต้องโดนคดีอะไรบาง ,"การที่มีผู้ใดเข้าถึงโดยมิชอบซึ่งระบบคอมพิวเตอร์ที่มีมาตรการป้องกันการเข้าถึงโดยเฉพาะและมาตรการนั้นมิได้มีไว้สำหรับตน  ต้องระวางโทษจำคุกไม่เกิน 6 เดือน หรือปรับไม่เกิน 10,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 5 ,นายสมชายแอบเข้าไปดูข้อมูลส่วนตัวของนางสมหญิงโดยภาระการจนทำให้จนทำให้สมหญิงเกิดความไม่พอใจต้องโดนบทลงโทษอะไรบาง,"การที่นายสมชายแอบไปล้วงรู้ข้อมูลของสมหญิงนั้น จึงทำให้ผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 5 ที่มีผู้ใดเข้าถึงโดยมิชอบซึ่งระบบคอมพิวเตอร์ที่มีมาตรการป้องกันการเข้าถึงโดยเฉพาะและมาตรการนั้นมิได้มีไว้สำหรับตน  ต้องระวางโทษจำคุกไม่เกิน 6 เดือน หรือปรับไม่เกิน 10,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 5 ,การที่ได้เจาะเข้าระบบเพื่อไปดูข้อมูลของคนอื่นนั้น ต้องติดคุกกี่ปี เเล้วโดนค่าปรับเท่าไหร่,"การเจาะผ่านระบบป้องกันความปลอดภัยเพื่อเข้าไปล่วงรู้ข้อมูลโดยไม่ได้รับอณุญาต จึงทำให้ผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 5 ที่มีผู้ใดเข้าถึงโดยมิชอบซึ่งระบบคอมพิวเตอร์ที่มีมาตรการป้องกันการเข้าถึงโดยเฉพาะและมาตรการนั้นมิได้มีไว้สำหรับตน  ต้องระวางโทษจำคุกไม่เกิน 6 เดือน หรือปรับไม่เกิน 10,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 5 ,การที่เราเอารหัสผ่านของคนอื่นไปใช้งานโดยไม่ได้รับอนุญาติมีความผิดอะไรไหม,"การใช้ username / password ของผู้อื่น Login เข้าสู่ระบบ โดยไม่ได้รับการอนุญาต ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 5 ที่มีผู้ใดเข้าถึงโดยมิชอบซึ่งระบบคอมพิวเตอร์ที่มีมาตรการป้องกันการเข้าถึงโดยเฉพาะและมาตรการนั้นมิได้มีไว้สำหรับตน  ต้องระวางโทษจำคุกไม่เกิน 6 เดือน หรือปรับไม่เกิน 10,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 5 ,เพื่อนของผมได้แอบเอารหัสFacebookของผมใช้งานโดนภาระการ ผมสามารถดำเนินคดีเอาผิดอะไรได้บางครับ,"การใช้ username / password ของผู้อื่น Login เข้าสู่ระบบ โดยไม่ได้รับการอนุญาต ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 5 ที่มีผู้ใดเข้าถึงโดยมิชอบซึ่งระบบคอมพิวเตอร์ที่มีมาตรการป้องกันการเข้าถึงโดยเฉพาะและมาตรการนั้นมิได้มีไว้สำหรับตน  ต้องระวางโทษจำคุกไม่เกิน 6 เดือน หรือปรับไม่เกิน 10,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 5 ,มีบุคคลที่ไม่รู้จักได้เเอบไปรู้รหัสล็อกอินไลค์ของผมเเล้วไปใช้งาน มีความผิดอะไรบาง เเล้วต้องเข้าคุกไหม,"การใช้ username / password ของผู้อื่น Login เข้าสู่ระบบ โดยไม่ได้รับการอนุญาต ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 5 ที่มีผู้ใดเข้าถึงโดยมิชอบซึ่งระบบคอมพิวเตอร์ที่มีมาตรการป้องกันการเข้าถึงโดยเฉพาะและมาตรการนั้นมิได้มีไว้สำหรับตน  ต้องระวางโทษจำคุกไม่เกิน 6 เดือน หรือปรับไม่เกิน 10,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 6,นาย A  ได้นำระบบป้องกันภัยอัตโนมัติของนาย B ไปเผยเเพร่สู่สาธารณะชนจนอาจทำให้เกิดความเสียหารต่อ นาย B ถือว่ามีความผิดอะไรบาง," ****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 6 ผู้ใดล่วงรู้มาตรการป้องกันการเข้าถึงระบบคอมพิวเตอร์ที่ผู้อื่นจัดทำขึ้นเป็นการเฉพาะ ถ้านำมาตรการดังกล่าวไปเปิดเผยโดยมิชอบในประการที่น่าจะเกิดความเสียหายแก่ผู้อื่น ต้องระวางโทษจำคุกไม่เกิน 1 ปี หรือปรับไม่เกิน 20,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 6,การที่ได้ไปล่วงรู้ระบบป้องกันภัยของผู้อื่นได้สร้างขึ้นนั้น มีความผิดไหม ละต้องเข้าคุกหรือป่าว," ****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 6 ผู้ใดล่วงรู้มาตรการป้องกันการเข้าถึงระบบคอมพิวเตอร์ที่ผู้อื่นจัดทำขึ้นเป็นการเฉพาะ ถ้านำมาตรการดังกล่าวไปเปิดเผยโดยมิชอบในประการที่น่าจะเกิดความเสียหายแก่ผู้อื่น ต้องระวางโทษจำคุกไม่เกิน 1 ปี หรือปรับไม่เกิน 20,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 6, ถ้าเราแอบไปรู้ระบบป้องของคนอื่นที่เขาทำขึ้นมา ถ้าเขาจับได้ว่าแอบไปรู้ ต้องโดนค่าปรับเท่าไหร ละต้องเข้าคุกด้วยไหม," ****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 6 ผู้ใดล่วงรู้มาตรการป้องกันการเข้าถึงระบบคอมพิวเตอร์ที่ผู้อื่นจัดทำขึ้นเป็นการเฉพาะ ถ้านำมาตรการดังกล่าวไปเปิดเผยโดยมิชอบในประการที่น่าจะเกิดความเสียหายแก่ผู้อื่น ต้องระวางโทษจำคุกไม่เกิน 1 ปี หรือปรับไม่เกิน 20,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 6,นาย ก. เป็นผู้จัดการระบบคอมพิวเตอร์ และทราบรหัสผ่านและชื่อผู้ใช้บริการของ พนักงานและกรรมการทั้งหมด และนำไป เปิดเผยแก่บุคคลภายนอก," *****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 6 ผู้ใดล่วงรู้มาตรการป้องกันการเข้าถึงระบบคอมพิวเตอร์ที่ผู้อื่นจัดทำขึ้นเป็นการเฉพาะ ถ้านำมาตรการดังกล่าวไปเปิดเผยโดยมิชอบในประการที่น่าจะเกิดความเสียหายแก่ผู้อื่น ต้องระวางโทษจำคุกไม่เกิน 1 ปี หรือปรับไม่เกิน 20,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 6,นาง ข. ได้แอบเข้าไปดูข้อมูลของคนอื่นเเล้วนำไปเเชร์ให้กับคนอื่น ถือว่ามีความผิดอะไรไหม," *****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 6 ผู้ใดล่วงรู้มาตรการป้องกันการเข้าถึงระบบคอมพิวเตอร์ที่ผู้อื่นจัดทำขึ้นเป็นการเฉพาะ ถ้านำมาตรการดังกล่าวไปเปิดเผยโดยมิชอบในประการที่น่าจะเกิดความเสียหายแก่ผู้อื่น ต้องระวางโทษจำคุกไม่เกิน 1 ปี หรือปรับไม่เกิน 20,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 6,ได้มีคนแอบเจาะระบบป้องกันข้อมูลของคนอื่น เเล้วไปรู้เข้ากับข้อมูล ชื่อ ผู้ใช้บริการ(User Name) และรหัสผ่าน(Password) และนำเอาข้อมูลดังกล่าวไปเปิดเผยโดยก่อให้เกิดความเสียหาย เราสามารถเอาผิดได้ไหม," ****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 6 ผู้ใดล่วงรู้มาตรการป้องกันการเข้าถึงระบบคอมพิวเตอร์ที่ผู้อื่นจัดทำขึ้นเป็นการเฉพาะ ถ้านำมาตรการดังกล่าวไปเปิดเผยโดยมิชอบในประการที่น่าจะเกิดความเสียหายแก่ผู้อื่น ต้องระวางโทษจำคุกไม่เกิน 1 ปี หรือปรับไม่เกิน 20,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 6,ล่วงรู้รหัสผ่านหรือมาตรการเข้าระบบที่มีการป้องกัน แล้วนำไปเผยแพร่ต่อสาธารณะหรือขายให้บุคคลอื่นเพื่อทำกำไร," ****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 6 ผู้ใดล่วงรู้มาตรการป้องกันการเข้าถึงระบบคอมพิวเตอร์ที่ผู้อื่นจัดทำขึ้นเป็นการเฉพาะ ถ้านำมาตรการดังกล่าวไปเปิดเผยโดยมิชอบในประการที่น่าจะเกิดความเสียหายแก่ผู้อื่น ต้องระวางโทษจำคุกไม่เกิน 1 ปี หรือปรับไม่เกิน 20,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 6,พนักงานที่ได้รับรู้วิธีการเข้าถึงเครือข่ายภายในขององค์กร แล้วนำไปเผยแพร่หรือนำไปใช้ในทางที่มิชอบ​," ****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 6 ผู้ใดล่วงรู้มาตรการป้องกันการเข้าถึงระบบคอมพิวเตอร์ที่ผู้อื่นจัดทำขึ้นเป็นการเฉพาะ ถ้านำมาตรการดังกล่าวไปเปิดเผยโดยมิชอบในประการที่น่าจะเกิดความเสียหายแก่ผู้อื่น ต้องระวางโทษจำคุกไม่เกิน 1 ปี หรือปรับไม่เกิน 20,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 6,การนำข้อมูลการป้องกันเว็บไซต์ออกไปเผยแพร่ในกลุ่มแฮ็กเกอร์เพื่อโจมตีเว็บไซต์นั้นๆ," ****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 6 ผู้ใดล่วงรู้มาตรการป้องกันการเข้าถึงระบบคอมพิวเตอร์ที่ผู้อื่นจัดทำขึ้นเป็นการเฉพาะ ถ้านำมาตรการดังกล่าวไปเปิดเผยโดยมิชอบในประการที่น่าจะเกิดความเสียหายแก่ผู้อื่น ต้องระวางโทษจำคุกไม่เกิน 1 ปี หรือปรับไม่เกิน 20,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 6,การขายข้อมูลการเข้าถึงของเซิร์ฟเวอร์ส่วนบุคคล ซึ่งเป็นข้อมูลที่ต้องมีการป้องกันเฉพาะ แต่ผู้กระทำการนำไปเผยแพร่หรือจำหน่ายให้บุคคลภายนอกโดยไม่ได้รับอนุญาต," ****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 6 ผู้ใดล่วงรู้มาตรการป้องกันการเข้าถึงระบบคอมพิวเตอร์ที่ผู้อื่นจัดทำขึ้นเป็นการเฉพาะ ถ้านำมาตรการดังกล่าวไปเปิดเผยโดยมิชอบในประการที่น่าจะเกิดความเสียหายแก่ผู้อื่น ต้องระวางโทษจำคุกไม่เกิน 1 ปี หรือปรับไม่เกิน 20,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 6,การเปิดเผยวิธีการเข้าถึงข้อมูลบัตรเครดิตของลูกค้า ในระบบธนาคารหรือบริษัททางการเงิน โดยที่ระบบมีการป้องกันเฉพาะ แต่ผู้กระทำการเปิดเผยวิธีการเข้าถึงข้อมูลเหล่านั้น," ****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 6 ผู้ใดล่วงรู้มาตรการป้องกันการเข้าถึงระบบคอมพิวเตอร์ที่ผู้อื่นจัดทำขึ้นเป็นการเฉพาะ ถ้านำมาตรการดังกล่าวไปเปิดเผยโดยมิชอบในประการที่น่าจะเกิดความเสียหายแก่ผู้อื่น ต้องระวางโทษจำคุกไม่เกิน 1 ปี หรือปรับไม่เกิน 20,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 6,การที่บุคคลภายในองค์กรนำมาตรการป้องกันของระบบอีเมลไปเปิดเผยกับบุคคลภายนอก ทำให้เกิดการแอบเข้าถึงและขโมยข้อมูลจากอีเมลขององค์กร​," ****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 6 ผู้ใดล่วงรู้มาตรการป้องกันการเข้าถึงระบบคอมพิวเตอร์ที่ผู้อื่นจัดทำขึ้นเป็นการเฉพาะ ถ้านำมาตรการดังกล่าวไปเปิดเผยโดยมิชอบในประการที่น่าจะเกิดความเสียหายแก่ผู้อื่น ต้องระวางโทษจำคุกไม่เกิน 1 ปี หรือปรับไม่เกิน 20,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 7,เมื่อมีคนแอบเข้าใช้งานบัญชีเฟสบุ๊คของตัวเองโดยที่ไม่ได้รับอณุญาตนั้นถือว่ามีความผิดอะไรบาง,****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 7 ผู้ใดเข้าถึงโดยมิชอบซึ่งข้อมูลคอมพิวเตอร์ที่มีมาตรการป้องกันการเข้าถึงโดยเฉพาะ และมาตรการนั้นมิได้มีไว้สำหรับตน
อธิบายมาตรา 8,ดักฟังการสนทนาผ่านแอปพลิเคชันแชท โดยไม่ได้รับอนุญาตจากผู้สนทนา,****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 8 ผู้ใดกระทำด้วยประการใดโดยมิชอบด้วยวิธีการทางอิเล็กทรอนิกส์เพื่อดักรับไว้ ซึ่งข้อมูลคอมพิวเตอร์ของผู้อื่นที่อยู่ระหว่างการส่งในระบบคอมพิวเตอร์ และข้อมูลคอมพิวเตอร์นั้น มิได้มีไว้เพื่อประโยชน์สาธารณะหรือเพื่อให้บุคคลทั่วไปใช้ประโยชน์ได้
อธิบายมาตรา 9,การใส่ข้อมูลปลอมในระบบคอมพิวเตอร์ของหน่วยงานราชการเพื่อหลอกลวง,****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 9 ผู้ใดทำให้เสียหาย ทำลาย แก้ไข เปลี่ยนแปลง หรือเพิ่มเติมไม่ว่าทั้งหมดหรือ บางส่วน ซึ่งข้อมูลคอมพิวเตอร์ของผู้อื่นโดยมิชอบ
อธิบายมาตรา 10,"การปล่อยไวรัสที่รบกวนระบบปฏิบัติการของคอมพิวเตอร์ ทำให้ไม่สามารถใช้งานได้
","****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 10 ผู้ใดกระทำด้วยประการใดโดยมิชอบ เพื่อให้การทำงานของระบบคอมพิวเตอร์ ของผู้อื่นถูกระงับ ชะลอ ขัดขวาง หรือรบกวนจนไม่สามารถทำงานตามปกติได้  ต้องระวางโทษจำคุกไม่เกิน 5 ปี หรือปรับไม่เกิน100,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 11,การส่งอีเมลสแปมโฆษณาที่ไม่ได้รับอนุญาตจากผู้รับ โดยไม่มีการระบุแหล่งที่มาที่ถูกต้อง,"****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 11  ผู้ใดส่งข้อมูลคอมพิวเตอร์หรือจดหมายอิเล็กทรอนิกส์แก่บุคคลอื่นโดยปกปิด หรือปลอมแปลงแหล่งที่มาของการส่งข้อมูลดังกล่าว อันเป็นการรบกวนการใช้ระบบคอมพิวเตอร์ของ บุคคลอื่นโดยปกติสุข ต้องระวางโทษปรับไม่เกิน 100,000บาท"
อธิบายมาตรา 11 วรรค 2,,"****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 11 วรรค 2  ผู้ใดส่งข้อมูลคอมพิวเตอร์หรือจดหมายอิเล็กทรอนิกส์แก่บุคคลอื่นอันมีลักษณะเป็นการก่อให้เกิดความเดือดร้อนรำคาญแก่ผู้รับข้อมูลคอมพิวเตอร์หรือจดหมายอิเล็กทรอนิกส์ โดยไม่เปิดโอกาสให้ผู้รับสามารถบอกเลิกหรือแจ้งความประสงค์เพื่อปฏิเสธการตอบรับได้โดยง่าย ต้องระวางโทษปรับไม่เกิน 200,000บาท"
อธิบายมาตรา 12,,"****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 12 ถ้าการกระทำความผิดตามมาตรา 5 มาตรา 6 มาตรา 7 มาตรา 8 หรือมาตรา 11 เป็นการกระทำต่อข้อมูลคอมพิวเตอร์หรือระบบคอมพิวเตอร์ที่เกี่ยวกับการรักษาความมั่นคงปลอดภัยของประเทศ ความปลอดภัยสาธารณะ ความมั่นคงในทางเศรษฐกิจของประเทศหรือโครงสร้างพื้นฐานอันเป็นประโยชน์สาธารณะ ต้องระวางโทษจำคุกตั้งเเต่ 1 - 7 ปี หรือปรับตั้งเเต่ 20,000 140,000บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 12 วรรค 1,,"****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 12 วรรค 1 ถ้าการกระทำความผิดตามวรรคหนึ่งเป็นเหตุให้เกิดความเสียหายต่อข้อมูลคอมพิวเตอร์ หรือระบบคอมพิวเตอร์ดังกล่าว ต้องระวางโทษจำคุกตั้งเเต่ 1 - 10 ปี หรือปรับตั้งเเต่ 20,000 ถึง 200,000บาท หรือทั้งจำทั้งปรับ"
